comunidad,cod_provincia,provincia,poblacion,num_mesas,censo_sin_cera,censo_cera,total_censo_electoral,total_cer,total_cera,total_votantes,votos_validos,votos_candidaturas,votos_blanco,votos_nulos,anio
Andalucía,4,Almería ,442324,419,309513,4131,313644,211787,850,212637,210067,209333,734,2570,1986
Andalucía,11,Cádiz,1044493,939,717942,4804,722746,478650,814,479464,471174,468758,2416,8290,1986
Andalucía,14,Córdoba ,747505,691,549413,4279,553692,421803,971,422774,417887,415504,2383,4887,1986
Andalucía,18,Granada ,783265,680,577108,5859,582967,403112,1421,404533,400245,398641,1604,4288,1986
Andalucía,21,Huelva,433995,460,312597,1649,314246,212685,281,212966,209541,208610,931,3425,1986
Andalucía,23,Jaén,646849,689,485208,2156,487364,369472,453,369925,365784,364613,1171,4141,1986
Andalucía,29,Málaga,1150434,755,746993,5838,752831,502830,1548,504378,496320,493789,2531,8058,1986
Andalucía,41,Sevilla ,1540907,1719,1096525,4857,1101382,809461,1129,810590,800183,797106,3077,10407,1986
Aragón,22,Huesca,209854,362,174590,1641,176231,123118,484,123602,120776,119785,991,2826,1986
Aragón,44,Teruel,149360,310,124747,954,125701,88250,242,88492,87114,86360,754,1378,1986
Aragón,50,Zaragoza,824778,1133,653342,3500,656842,463736,924,464660,454801,451185,3616,9859,1986
Principado de Asturias ,33,Asturias,1112186,1410,892261,18186,910447,613809,3635,617444,606514,603037,3477,10930,1986
Illes Balears,7,Illes Balears,680933,807,526508,1614,528122,348325,323,348648,341056,338604,2452,7592,1986
Canarias ,35,Las Palmas ,751269,755,502737,1610,504347,357631,212,357843,349374,347855,1519,8469,1986
Canarias ,38,Santa Cruz de Tenerife,715122,706,489983,5395,495378,324537,272,324809,319487,318458,1029,5322,1986
Cantabria,39,Cantabria,522664,505,400615,4142,404757,296339,889,297228,291064,288693,2371,6164,1986
Castilla - La Mancha,2,Albacete,346217,440,263845,1422,265267,193380,387,193767,191641,190352,1289,2126,1986
Castilla - La Mancha,13,Ciudad Real,483634,637,370443,1000,371443,272448,226,272674,268640,267058,1582,4034,1986
Castilla - La Mancha,16,Cuenca,213283,323,170735,560,171295,128206,169,128375,126617,125854,763,1758,1986
Castilla - La Mancha,19,Guadalajara,145951,378,114762,559,115321,87544,179,87723,86289,85634,655,1434,1986
Castilla - La Mancha,45,Toledo,486194,448,368517,1892,370409,288403,514,288917,284260,282683,1577,4657,1986
Castilla y León ,5,Ávila,181770,322,145054,1192,146246,111967,239,112206,109640,109138,502,2566,1986
Castilla y León ,9,Burgos,358967,674,283508,2352,285860,203839,574,204413,200318,198321,1997,4095,1986
Castilla y León ,24,León,530787,654,421198,7882,429080,292525,1331,293856,288551,286144,2407,5305,1986
Castilla y León ,34,Palencia,189433,306,148049,1608,149657,113421,395,113816,111739,110912,827,2077,1986
Castilla y León ,37,Salamanca,359048,552,285021,3822,288843,216249,661,216910,213335,211114,2221,3575,1986
Castilla y León ,40,Segovia ,150634,269,116321,533,116854,92406,134,92540,90161,89009,1152,2379,1986
Castilla y León ,42,Soria,97734,224,80878,633,81511,58580,171,58751,56863,56271,592,1888,1986
Castilla y León ,47,Valladolid ,491021,696,381465,1899,383364,282039,419,282458,277166,274771,2395,5292,1986
Castilla y León ,49,Zamora,222009,378,185854,2761,188615,131734,427,132161,129191,128010,1181,2970,1986
Cataluña ,8,Barcelona,4614364,5276,3557636,18768,3576404,2455064,4628,2459692,2439795,2429890,9905,19897,1986
Cataluña ,17,Girona,488322,641,366197,2044,368241,263376,478,263854,261332,260281,1051,2522,1986
Cataluña ,25,Lleida,351936,450,280694,3537,284231,190853,1422,192275,190829,189956,873,1446,1986
Cataluña ,43,Tarragona,523883,593,406058,1825,407883,280646,530,281176,277784,276433,1351,3392,1986
Extremadura ,6,Badajoz ,666053,743,495134,2425,497559,369960,501,370461,366121,364166,1955,4340,1986
Extremadura ,10,Cáceres ,420367,463,328826,2654,331480,239046,483,239529,236332,235159,1173,3197,1986
Galicia,15,A Coruña,1109788,1257,847765,25113,872878,516278,4051,520329,512141,509124,3017,8188,1986
Galicia,27,Lugo,404888,460,330909,8442,339351,189904,1554,191458,188482,187398,1084,2976,1986
Galicia,32,Ourense ,425943,533,333227,13657,346884,174326,1906,176232,174211,173346,865,2021,1986
Galicia,36,Pontevedra ,900414,902,665644,20257,685901,408201,3462,411663,407093,404956,2137,4570,1986
Comunidad de Madrid,28,Madrid,4780515,4454,3529851,28077,3557928,2623105,6301,2629406,2584562,2559748,24814,44844,1986
Comunidad Foral de Navarra,31,Navarra ,515624,780,395282,3996,399278,277709,972,278681,273152,270440,2712,5529,1986
País Vasco,1,Araba - Álava,267728,320,197998,926,198924,138888,196,139084,136562,135576,986,2522,1986
País Vasco,20,Gipuzkoa,689222,775,531661,3946,535607,349738,844,350582,347246,345565,1681,3336,1986
País Vasco,48,Bizkaia ,1179150,1204,908327,4637,912964,622659,1111,623770,611221,608286,2935,12549,1986
Región de Murcia,30,Murcia,1006788,1030,725510,3531,729041,543517,806,544323,536218,533594,2624,8105,1986
La Rioja ,26,La Rioja,260024,381,201851,1753,203604,150854,442,151296,148328,146967,1361,2968,1986
Comunitat Valenciana,3,Alicante / Alacant,1217279,1129,867020,3327,870347,650446,829,651275,638049,635095,2954,13226,1986
Comunitat Valenciana,12,Castellón / Castelló,436588,517,337449,1047,338496,263282,174,263456,257863,256413,1450,5593,1986
Comunitat Valenciana,46,Valencia / València,2078815,2100,1582192,7398,1589590,1221497,1756,1223253,1195850,1190213,5637,27403,1986
Ciudad de Ceuta ,51,Ceuta,65151,46,42671,559,43230,24415,95,24510,24181,24045,136,329,1986
Ciudad de Melilla,52,Melilla ,52388,44,32810,520,33330,19908,85,19993,19769,19480,289,224,1986
