comunidad,cod_provincia,provincia,poblacion,num_mesas,censo_sin_cera,censo_cera,total_censo_electoral,total_cer,total_cera,total_votantes,votos_validos,votos_candidaturas,votos_blanco,votos_nulos,anio
Andalucía ,4,Almería ,486005,538,366963,8412,375375,286454,3279,289733,288297,286407,1890,1436,1996
Andalucía ,11,Cádiz ,1118137,1113,837314,9810,847124,617280,3482,620762,615757,610631,5126,5005,1996
Andalucía ,14,Córdoba ,779333,849,596829,7050,603879,494128,2952,497080,494284,490869,3415,2796,1996
Andalucía ,18,Granada ,833526,940,640589,11662,652251,508838,4386,513224,510793,507044,3749,2431,1996
Andalucía ,21,Huelva,454995,476,352563,2484,355047,266683,707,267390,265126,263368,1758,2264,1996
Andalucía ,23,Jaén,663586,689,503780,3886,507666,423450,1416,424866,422790,420151,2639,2076,1996
Andalucía ,29,Málaga,1212531,1271,908521,12717,921238,684207,5331,689538,685476,678810,6666,4062,1996
Andalucía ,41,Sevilla ,1701400,2051,1304307,9691,1313998,1043712,3460,1047172,1041824,1031012,10812,5348,1996
Aragón,22,Huesca,210099,392,173729,2781,176510,135508,1125,136633,135750,133770,1980,883,1996
Aragón,44,Teruel,143198,330,117289,1871,119160,91602,732,92334,91830,90672,1158,504,1996
Aragón,50,Zaragoza,850888,1266,702102,6630,708732,546530,2501,549031,546598,540377,6221,2433,1996
Principado de Asturias,33,Asturias,1117762,1530,932308,26104,958412,718472,9095,727567,724075,717270,6805,3492,1996
Illes Balears ,7,Illes Balears ,778617,942,602299,4030,606329,433084,1204,434288,431785,427467,4318,2503,1996
Canarias,35,Las Palmas,832447,1050,644084,3963,648047,460634,964,461598,459393,456474,2919,2205,1996
Canarias,38,Santa Cruz de Tenerife,775653,914,614100,13767,627867,417432,3133,420565,419071,416973,2098,1494,1996
Cantabria ,39,Cantabria ,539121,562,434218,7716,441934,347907,2570,350477,348000,342422,5578,2477,1996
Castilla - La Mancha,2,Albacete,358626,518,281224,2627,283851,235942,1023,236965,235774,233485,2289,1191,1996
Castilla - La Mancha,13,Ciudad Real ,488699,658,382449,1908,384357,315545,683,316228,314213,311581,2632,2015,1996
Castilla - La Mancha,16,Cuenca,207175,357,168195,1093,169288,140321,439,140760,139803,138568,1235,957,1996
Castilla - La Mancha,19,Guadalajara ,153141,417,127325,1027,128352,103844,378,104222,103496,102116,1380,726,1996
Castilla - La Mancha,45,Toledo,510601,553,403933,3531,407464,341568,1306,342874,340578,337858,2720,2296,1996
Castilla y León ,5,Ávila ,176910,354,141960,2851,144811,116431,1082,117513,116708,115537,1171,805,1996
Castilla y León ,9,Burgos,360071,711,296448,4437,300885,233505,1628,235133,233277,229524,3753,1856,1996
Castilla y León ,24,León,531913,753,422922,13284,436206,331330,4403,335733,334095,330509,3586,1638,1996
Castilla y León ,34,Palencia,186184,354,150711,2494,153205,123178,882,124060,123298,121610,1688,762,1996
Castilla y León ,37,Salamanca ,364920,608,297515,9774,307289,240254,2917,243171,241712,238345,3367,1459,1996
Castilla y León ,40,Segovia ,149139,295,123150,1141,124291,99371,355,99726,98964,97450,1514,762,1996
Castilla y León ,42,Soria ,94584,247,78428,1174,79602,58983,458,59441,58983,57900,1083,458,1996
Castilla y León ,47,Valladolid,505208,711,412802,3538,416340,337882,1342,339224,337438,332594,4844,1786,1996
Castilla y León ,49,Zamora,214624,399,176796,4937,181733,138361,1946,140307,139272,137595,1677,1035,1996
Cataluña,8,Barcelona ,4743797,5393,3865051,40204,3905255,2979841,13583,2993424,2984714,2964349,20365,8710,1996
Cataluña,17,Girona,536317,708,424986,4540,429526,329165,1667,330832,329337,327598,1739,1495,1996
Cataluña,25,Lleida,359532,469,295752,5516,301268,225011,2191,227202,226318,224717,1601,884,1996
Cataluña,43,Tarragona ,569057,755,459128,4554,463682,349488,1601,351089,349260,347108,2152,1829,1996
Extremadura ,6,Badajoz ,671774,780,511863,4434,516297,427285,1500,428785,427091,424010,3081,1694,1996
Extremadura ,10,Cáceres ,423159,545,333670,6231,339901,274181,1939,276120,274792,272792,2000,1328,1996
Galicia ,15,A Coruña,1131404,1414,922413,56206,978619,673077,20120,693197,689269,682533,6736,3928,1996
Galicia ,27,Lugo,387038,561,320921,17178,338099,237591,6061,243652,242256,240418,1838,1396,1996
Galicia ,32,Ourense ,362832,571,297001,30705,327706,221883,10320,232203,230222,228639,1583,1981,1996
Galicia ,36,Pontevedra,931688,1119,724904,45335,770239,540093,14834,554927,551071,545545,5526,3856,1996
Comunidad de Madrid ,28,Madrid,5150399,5421,4144804,54995,4199799,3323450,19178,3342628,3332046,3290119,41927,10582,1996
Comunidad Foral de Navarra,31,Navarra ,532836,846,437562,6532,444094,324090,2111,326201,324186,318706,5480,2015,1996
País Vasco,1,Araba - Álava ,281703,339,232126,1446,233572,168340,544,168884,167426,164936,2490,1458,1996
País Vasco,20,Gipuzkoa,684714,837,564674,6842,571516,395288,2274,397562,395013,387015,7998,2549,1996
País Vasco,48,Bizkaia ,1164772,1291,961181,9411,970592,700491,3138,703629,698859,689796,9063,4770,1996
Región de Murcia,30,Murcia,1099651,1223,850993,9312,860305,702204,3239,705443,702192,696676,5516,3251,1996
La Rioja,26,La Rioja,267163,433,218469,3114,221583,178120,1186,179306,178226,175614,2612,1080,1996
Comunitat Valenciana,3,Alicante / Alacant,1348667,1500,1018314,9552,1027866,838086,3476,841562,836850,829853,6997,4712,1996
Comunitat Valenciana,12,Castellón / Castelló,461208,591,370680,2559,373239,303479,951,304430,302545,299986,2559,1885,1996
Comunitat Valenciana,46,Valencia / València ,2188953,2449,1762779,18940,1781719,1447143,5978,1453121,1446390,1435215,11175,6731,1996
Ciudad de Ceuta ,51,Ceuta ,71926,66,50406,892,51298,32404,328,32732,32490,32095,395,242,1996
Ciudad de Melilla ,52,Melilla ,63570,58,43238,1177,44415,27169,345,27514,27263,26822,441,251,1996
