comunidad,cod_provincia,provincia,poblacion,total_votantes,votos_validos,votos_candidaturas,votos_blanco,votos_nulos,fecha
Andalucía ,4,Almería,411665,184489,182899,182539,360,1590,1979-03-01
Andalucía ,11,Cádiz ,999129,422011,413958,412986,972,8053,1979-03-01
Andalucía ,14,Córdoba,744359,373627,369849,369281,568,3778,1979-03-01
Andalucía ,18,Granada,771227,360733,358073,357633,440,2660,1979-03-01
Andalucía ,21,Huelva,422092,186498,184404,184072,332,2094,1979-03-01
Andalucía ,23,Jaén,671563,332326,329075,328718,357,3251,1979-03-01
Andalucía ,29,Málaga,989971,419157,413179,412302,877,5978,1979-03-01
Andalucía ,41,Sevilla,1452450,698818,692141,691090,1051,6677,1979-03-01
Aragón,22,Huesca,217244,119654,117782,117320,462,1872,1979-03-01
Aragón,44,Teruel,157996,85295,84350,83902,448,945,1979-03-01
Aragón,50,Zaragoza,820853,431657,424731,423096,1635,6926,1979-03-01
Principado de Asturias,33,Asturias,1162712,545179,537364,536168,1196,7815,1979-03-01
Illes Balears,7,Illes Balears,634248,314850,300331,299197,1134,14519,1979-03-01
Canarias,35,Las Palmas,685799,296783,287790,286766,1024,8993,1979-03-01
Canarias,38,Santa Cruz de Tenerife,694628,250940,246409,245740,669,4531,1979-03-01
Cantabria ,39,Cantabria ,510460,264658,259307,258132,1175,5351,1979-03-01
Castilla - La Mancha,2,Albacete,340797,170678,169109,168750,359,1569,1979-03-01
Castilla - La Mancha,13,Ciudad Real ,495903,246203,243851,243398,453,2352,1979-03-01
Castilla - La Mancha,16,Cuenca,226573,124450,122718,122200,518,1732,1979-03-01
Castilla - La Mancha,19,Guadalajara ,143003,78357,77458,77172,286,899,1979-03-01
Castilla - La Mancha,45,Toledo,479141,268645,265700,265201,499,2945,1979-03-01
Castilla y León ,5,Ávila ,194540,103007,101805,101306,499,1202,1979-03-01
Castilla y León ,9,Burgos,365940,183336,180249,179223,1026,3087,1979-03-01
Castilla y León ,24,León,546671,261085,257471,256396,1075,3614,1979-03-01
Castilla y León ,34,Palencia,190136,100877,99290,98642,648,1587,1979-03-01
Castilla y León ,37,Salamanca ,366491,198518,195098,193888,1210,3420,1979-03-01
Castilla y León ,40,Segovia,153103,84286,83258,82691,567,1028,1979-03-01
Castilla y León ,42,Soria ,105231,56946,55520,54932,588,1426,1979-03-01
Castilla y León ,47,Valladolid,473942,247117,244744,243306,1438,2373,1979-03-01
Castilla y León ,49,Zamora,237443,123173,120680,119799,881,2493,1979-03-01
Cataluña,8,Barcelona ,4655759,2337309,2294556,2284842,9714,42753,1979-03-01
Cataluña,17,Girona,460808,240636,236594,235866,728,4042,1979-03-01
Cataluña,25,Lleida,355891,174656,172170,171491,679,2486,1979-03-01
Cataluña,43,Tarragona ,521889,251500,247815,247224,591,3685,1979-03-01
Extremadura ,6,Badajoz,662557,332132,328892,328319,573,3240,1979-03-01
Extremadura ,10,Cáceres,441306,209735,207007,206551,456,2728,1979-03-01
Galicia,15,A Coruña,1109857,437702,429383,428981,402,8319,1979-03-01
Galicia,27,Lugo,416972,161880,159620,159120,500,2260,1979-03-01
Galicia,32,Ourense,445232,143391,143391,143391,0,0,1979-03-01
Galicia,36,Pontevedra,888307,296770,291182,290298,884,5588,1979-03-01
Comunidad de Madrid ,28,Madrid,4578974,2328229,2307644,2298953,8691,20585,1979-03-01
Comunidad Foral de Navarra,31,Navarra,506661,257005,252992,252171,821,4013,1979-03-01
País Vasco,1,Araba - Álava,251965,119892,116601,116120,481,3291,1979-03-01
País Vasco,20,Gipuzkoa,707968,334773,328647,327886,761,6126,1979-03-01
País Vasco,48,Bizkaia,1208988,565885,553407,552280,1127,12478,1979-03-01
Región de Murcia,30,Murcia,938815,461971,456209,454127,2082,5762,1979-03-01
La Rioja,26,La Rioja,249676,136419,134739,134093,646,1680,1979-03-01
Comunitat Valenciana,3,Alicante / Alacant,1118499,560714,553932,552822,1110,6782,1979-03-01
Comunitat Valenciana,12,Castellón / Castelló,425589,243601,240299,239508,791,3302,1979-03-01
Comunitat Valenciana,46,Valencia / València ,2028359,1092469,1078478,1075170,3308,13991,1979-03-01
Ciudad de Ceuta ,51,Ceuta ,62861,21484,21244,21132,112,240,1979-03-01
Ciudad de Melilla,52,Melilla,55291,17686,17520,17457,63,166,1979-03-01
