community,cod_province,province,population,total_voters,valid_votes,votes_to_parties,blank_votes,null_votes,fecha
Andalucía ,4,Almería ,455539,264543,263376,262223,1153,1167,1993-06-01
Andalucía ,11,Cádiz ,1078404,565214,561799,558745,3054,3415,1993-06-01
Andalucía ,14,Córdoba ,754452,469223,467598,465297,2301,1625,1993-06-01
Andalucía ,18,Granada ,790515,466253,464645,462478,2167,1608,1993-06-01
Andalucía ,21,Huelva,443476,248682,247841,246656,1185,841,1993-06-01
Andalucía ,23,Jaén,637633,401309,399912,398229,1683,1397,1993-06-01
Andalucía ,29,Málaga,1160843,638267,634901,631808,3093,3366,1993-06-01
Andalucía ,41,Sevilla ,1619703,974294,970301,964195,6106,3993,1993-06-01
Aragón,22,Huesca,207818,134165,133300,132267,1033,865,1993-06-01
Aragón,44,Teruel,143725,90678,90084,89487,597,594,1993-06-01
Aragón,50,Zaragoza,837067,540270,537237,533354,3883,3033,1993-06-01
Principado de Asturias,33,Asturias,1093937,694243,691381,685075,6306,2862,1993-06-01
Illes Balears ,7,Illes Balears ,709138,414861,412545,409060,3485,2316,1993-06-01
Canarias,35,Las Palmas,767969,423651,420189,417160,3029,3462,1993-06-01
Canarias,38,Santa Cruz de Tenerife,725815,391996,389329,387253,2076,2667,1993-06-01
Cantabria ,39,Cantabria ,527326,332019,329344,325092,4252,2675,1993-06-01
Castilla - La Mancha,2,Albacete,342519,224549,223335,221492,1843,1214,1993-06-01
Castilla - La Mancha,13,Ciudad Real ,475435,301689,299656,297601,2055,2033,1993-06-01
Castilla - La Mancha,16,Cuenca,204846,137918,137141,136077,1064,777,1993-06-01
Castilla - La Mancha,19,Guadalajara ,145383,96721,96091,95019,1072,630,1993-06-01
Castilla - La Mancha,45,Toledo,489543,322632,320521,318216,2305,2111,1993-06-01
Castilla y León ,5,Ávila ,173576,115248,114213,113319,894,1035,1993-06-01
Castilla y León ,9,Burgos,352434,226970,224834,221713,3121,2136,1993-06-01
Castilla y León ,24,León,525896,324776,322745,319305,3440,2031,1993-06-01
Castilla y León ,34,Palencia,185484,122034,121263,120013,1250,771,1993-06-01
Castilla y León ,37,Salamanca ,357867,236276,234664,231889,2775,1612,1993-06-01
Castilla y León ,40,Segovia ,147012,96745,95833,94584,1249,912,1993-06-01
Castilla y León ,42,Soria ,94544,58999,58421,57577,844,578,1993-06-01
Castilla y León ,47,Valladolid,494243,322825,320468,316477,3991,2357,1993-06-01
Castilla y León ,49,Zamora,213440,137492,136589,135152,1437,903,1993-06-01
Cataluña,8,Barcelona ,4654745,2842551,2832260,2814031,18229,10291,1993-06-01
Cataluña,17,Girona,509279,302079,300502,298591,1911,1577,1993-06-01
Cataluña,25,Lleida,353506,212533,211217,209599,1618,1316,1993-06-01
Cataluña,43,Tarragona ,542010,322117,320254,317856,2398,1863,1993-06-01
Extremadura ,6,Badajoz ,650388,408373,406434,404228,2206,1939,1993-06-01
Extremadura ,10,Cáceres ,411115,260738,259483,258080,1403,1255,1993-06-01
Galicia ,15,A Coruña,1096966,641381,635443,629307,6136,5938,1993-06-01
Galicia ,27,Lugo,384365,227523,225895,224129,1766,1628,1993-06-01
Galicia ,32,Ourense ,353491,217832,216771,215299,1472,1061,1993-06-01
Galicia ,36,Pontevedra,896847,510120,507121,502733,4388,2999,1993-06-01
Comunidad de Madrid ,28,Madrid,4947799,3138511,3126150,3095596,30554,12361,1993-06-01
Comunidad Foral de Navarra,31,Navarra ,519506,312999,310625,306130,4495,2374,1993-06-01
País Vasco,1,Araba - Álava ,272447,157879,156676,154453,2223,1203,1993-06-01
País Vasco,20,Gipuzkoa,676488,374572,372023,363248,8775,2549,1993-06-01
País Vasco,48,Bizkaia ,1155106,673686,668191,660131,8060,5495,1993-06-01
Región de Murcia,30,Murcia,1045601,659952,656534,653101,3433,3418,1993-06-01
La Rioja,26,La Rioja,263481,171277,170310,168185,2125,967,1993-06-01
Comunitat Valenciana,3,Alicante / Alacant,1292563,786995,782921,778758,4163,4074,1993-06-01
Comunitat Valenciana,12,Castellón / Castelló,446762,289589,287322,285441,1881,2267,1993-06-01
Comunitat Valenciana,46,Valencia / València ,2117438,1375837,1368713,1360569,8144,7124,1993-06-01
Ciudad de Ceuta ,51,Ceuta ,67615,30145,29993,29762,231,152,1993-06-01
Ciudad de Melilla ,52,Melilla ,56600,26526,26411,26086,325,115,1993-06-01
