community,cod_province,province,population,total_voters,valid_votes,votes_to_parties,blank_votes,null_votes,date
Andalucía ,4,Almería ,486005,289733,288297,286407,1890,1436,1996-03-01
Andalucía ,11,Cádiz ,1118137,620762,615757,610631,5126,5005,1996-03-01
Andalucía ,14,Córdoba ,779333,497080,494284,490869,3415,2796,1996-03-01
Andalucía ,18,Granada ,833526,513224,510793,507044,3749,2431,1996-03-01
Andalucía ,21,Huelva,454995,267390,265126,263368,1758,2264,1996-03-01
Andalucía ,23,Jaén,663586,424866,422790,420151,2639,2076,1996-03-01
Andalucía ,29,Málaga,1212531,689538,685476,678810,6666,4062,1996-03-01
Andalucía ,41,Sevilla ,1701400,1047172,1041824,1031012,10812,5348,1996-03-01
Aragón,22,Huesca,210099,136633,135750,133770,1980,883,1996-03-01
Aragón,44,Teruel,143198,92334,91830,90672,1158,504,1996-03-01
Aragón,50,Zaragoza,850888,549031,546598,540377,6221,2433,1996-03-01
Principado de Asturias,33,Asturias,1117762,727567,724075,717270,6805,3492,1996-03-01
Illes Balears ,7,Illes Balears ,778617,434288,431785,427467,4318,2503,1996-03-01
Canarias,35,Las Palmas,832447,461598,459393,456474,2919,2205,1996-03-01
Canarias,38,Santa Cruz de Tenerife,775653,420565,419071,416973,2098,1494,1996-03-01
Cantabria ,39,Cantabria ,539121,350477,348000,342422,5578,2477,1996-03-01
Castilla - La Mancha,2,Albacete,358626,236965,235774,233485,2289,1191,1996-03-01
Castilla - La Mancha,13,Ciudad Real ,488699,316228,314213,311581,2632,2015,1996-03-01
Castilla - La Mancha,16,Cuenca,207175,140760,139803,138568,1235,957,1996-03-01
Castilla - La Mancha,19,Guadalajara ,153141,104222,103496,102116,1380,726,1996-03-01
Castilla - La Mancha,45,Toledo,510601,342874,340578,337858,2720,2296,1996-03-01
Castilla y León ,5,Ávila ,176910,117513,116708,115537,1171,805,1996-03-01
Castilla y León ,9,Burgos,360071,235133,233277,229524,3753,1856,1996-03-01
Castilla y León ,24,León,531913,335733,334095,330509,3586,1638,1996-03-01
Castilla y León ,34,Palencia,186184,124060,123298,121610,1688,762,1996-03-01
Castilla y León ,37,Salamanca ,364920,243171,241712,238345,3367,1459,1996-03-01
Castilla y León ,40,Segovia ,149139,99726,98964,97450,1514,762,1996-03-01
Castilla y León ,42,Soria ,94584,59441,58983,57900,1083,458,1996-03-01
Castilla y León ,47,Valladolid,505208,339224,337438,332594,4844,1786,1996-03-01
Castilla y León ,49,Zamora,214624,140307,139272,137595,1677,1035,1996-03-01
Cataluña,8,Barcelona ,4743797,2993424,2984714,2964349,20365,8710,1996-03-01
Cataluña,17,Girona,536317,330832,329337,327598,1739,1495,1996-03-01
Cataluña,25,Lleida,359532,227202,226318,224717,1601,884,1996-03-01
Cataluña,43,Tarragona ,569057,351089,349260,347108,2152,1829,1996-03-01
Extremadura ,6,Badajoz ,671774,428785,427091,424010,3081,1694,1996-03-01
Extremadura ,10,Cáceres ,423159,276120,274792,272792,2000,1328,1996-03-01
Galicia ,15,A Coruña,1131404,693197,689269,682533,6736,3928,1996-03-01
Galicia ,27,Lugo,387038,243652,242256,240418,1838,1396,1996-03-01
Galicia ,32,Ourense ,362832,232203,230222,228639,1583,1981,1996-03-01
Galicia ,36,Pontevedra,931688,554927,551071,545545,5526,3856,1996-03-01
Comunidad de Madrid ,28,Madrid,5150399,3342628,3332046,3290119,41927,10582,1996-03-01
Comunidad Foral de Navarra,31,Navarra ,532836,326201,324186,318706,5480,2015,1996-03-01
País Vasco,1,Araba - Álava ,281703,168884,167426,164936,2490,1458,1996-03-01
País Vasco,20,Gipuzkoa,684714,397562,395013,387015,7998,2549,1996-03-01
País Vasco,48,Bizkaia ,1164772,703629,698859,689796,9063,4770,1996-03-01
Región de Murcia,30,Murcia,1099651,705443,702192,696676,5516,3251,1996-03-01
La Rioja,26,La Rioja,267163,179306,178226,175614,2612,1080,1996-03-01
Comunitat Valenciana,3,Alicante / Alacant,1348667,841562,836850,829853,6997,4712,1996-03-01
Comunitat Valenciana,12,Castellón / Castelló,461208,304430,302545,299986,2559,1885,1996-03-01
Comunitat Valenciana,46,Valencia / València ,2188953,1453121,1446390,1435215,11175,6731,1996-03-01
Ciudad de Ceuta ,51,Ceuta ,71926,32732,32490,32095,395,242,1996-03-01
Ciudad de Melilla ,52,Melilla ,63570,27514,27263,26822,441,251,1996-03-01
